id|name|surname|status
930|Bruno|Schroeder|gold
931|Cheyenne|Bruce|silver
932|Zeus|Hewitt|gold
933|Omar|Benson|platinum
934|Rebecca|Daniel|platinum
935|Rajah|Donovan|bronze
936|Britanni|Bryan|silver
937|Aphrodite|Lott|bronze
938|Jeanette|Bird|silver
939|Gavin|Duran|bronze
940|Roary|Bass|platinum
941|Diana|Buckley|platinum
942|Theodore|Suarez|silver
943|Kelly|Harvey|gold
944|Hilary|Stokes|bronze
945|Leonard|Francis|gold
946|Abel|Hunt|platinum
947|Jane|Skinner|gold
948|Ebony|Horn|platinum
949|Carla|Myers|gold
950|Hope|Walters|platinum
951|Debra|Underwood|silver
952|Serina|Mullen|silver
953|Arsenio|Shelton|bronze
954|Beatrice|Lindsay|bronze
955|Urielle|Stafford|gold
956|Larissa|Frederick|gold
957|Jeanette|Saunders|gold
958|Evangeline|Richard|silver
959|Ashton|Watson|silver
960|Sophia|Hyde|gold
961|Tallulah|Cross|silver
962|Gretchen|Solis|platinum
963|Baxter|Carr|silver
964|Jesse|Crosby|platinum
965|Paki|Levy|platinum
966|Caldwell|Walker|bronze
967|Marcia|Delaney|gold
968|Maggy|Stuart|bronze
969|Bruce|Garrett|silver
970|Kasper|Tanner|silver
971|Lee|Mullen|bronze
972|Clarke|Lane|gold
973|Marny|Reyes|silver
974|Uma|Burton|gold
975|Allegra|Frazier|bronze
976|Ross|Roman|gold
977|Gloria|West|bronze
978|Burke|Gates|bronze
979|Lael|Cross|platinum
980|Dustin|Keith|bronze
981|Charde|Cleveland|platinum
982|Salvador|Russell|silver
983|Ira|Pittman|silver
984|Illiana|Ayala|silver
985|Sade|Hart|silver
986|Irene|Morse|silver
987|Carol|Atkinson|platinum
988|Joelle|Alexander|bronze
989|Eric|Whitfield|bronze
990|Nathaniel|Dorsey|bronze
991|Kaden|Beasley|platinum
992|Castor|Garrett|gold
993|Lara|Chan|platinum
994|Yen|Marquez|bronze
995|Beck|Wolfe|gold
996|Cyrus|Hays|silver
997|Wesley|Hensley|gold
998|Nolan|Britt|silver
999|Deacon|Webb|bronze
1000|Quynn|Cole|bronze
1001|Logan|Mccarthy|bronze
1002|Prescott|Ramirez|platinum
1003|Jenna|Roach|gold
1004|Teagan|Dalton|silver
1005|Noble|Fletcher|platinum
1006|Buffy|Abbott|platinum
1007|Yael|Sharpe|gold
1008|Gisela|Weeks|bronze
1009|Gregory|Cantu|gold
1010|Walter|Finley|platinum
1011|Chandler|Lloyd|gold
1012|Davis|Tucker|gold
1013|Berk|Bowman|platinum
1014|Boris|French|platinum
1015|Macey|Palmer|silver
1016|Martha|Bonner|gold
1017|Montana|Foster|platinum
1018|Wing|Harrell|bronze
1019|Virginia|Pace|platinum
1020|Theodore|Mooney|silver
1021|Jonas|Hensley|platinum
1022|Mollie|Lambert|bronze
1023|Glenna|Drake|silver
1024|Callum|Wilkinson|gold
1025|Uma|Sloan|gold
1026|Barry|Ballard|silver
1027|Steel|Rodgers|gold
1028|Leila|Dawson|gold
1029|Brennan|Osborne|gold
1030|Kristen|Dominguez|silver
1031|Howard|Haynes|gold
1032|Wayne|Mendoza|gold
1033|Walter|Porter|platinum
1034|Elton|Serrano|platinum
1035|Ishmael|Figueroa|platinum
1036|Abdul|Nichols|silver
1037|Gisela|Chambers|gold
1038|Kirby|Wynn|silver
1039|Barrett|Pearson|platinum
1040|Justine|Hardin|silver
1041|Daphne|Lindsay|silver
1042|Shana|Salinas|bronze
1043|Quentin|Ratliff|gold
1044|Vielka|Blackwell|gold
1045|Rama|Marshall|bronze
1046|Yasir|Hahn|bronze
1047|Cara|Snow|gold
1048|Hayfa|Walton|platinum
1049|Fritz|Richard|platinum
1050|Lana|Hickman|gold
1051|Simon|Anderson|bronze
1052|Audrey|Moran|silver
1053|Arthur|Leon|bronze
1054|Brandon|Coffey|bronze
1055|Angela|Mccall|silver
1056|John|Russo|bronze
1057|Jin|Brock|platinum
1058|Kelly|Velez|silver
1059|Justin|Strickland|gold
1060|Ulric|Carlson|platinum
1061|Delilah|Cummings|gold
1062|Clinton|Watson|platinum
1063|Ignatius|Fischer|bronze
1064|Keegan|Mcfadden|silver
1065|Steven|Lang|gold
1066|Ramona|West|silver
1067|Briar|Holmes|silver
1068|Arden|Chapman|platinum
1069|Savannah|Pickett|gold
1070|Cora|Carney|gold
1071|Yoshio|Watts|silver
1072|Judah|Ayala|bronze
1073|Sacha|Garza|bronze
1074|Kelsie|Reed|platinum
1075|Aurelia|Johnston|platinum
1076|Molly|Chaney|silver
1077|Neil|Chase|bronze
1078|Erasmus|Knapp|platinum
1079|Amethyst|Fulton|platinum
1080|Gregory|Joseph|bronze
1081|Darius|Kirkland|platinum
1082|Leah|Vazquez|gold
1083|Ina|Acosta|silver
1084|Uriel|Roach|gold
1085|Dacey|Mullins|bronze
1086|Lael|Gregory|silver
1087|Yoshio|Reed|silver
1088|Dante|Webster|gold
1089|Charissa|Parsons|platinum
1090|Stewart|Stout|silver
1091|Avram|Molina|gold
1092|Lael|Sweeney|bronze
1093|Craig|Ortiz|platinum
1094|Samuel|Erickson|gold
1095|Carolyn|Barton|gold
1096|Jerry|Johnston|platinum
1097|Mercedes|Levine|bronze
1098|Connor|Deleon|platinum
1099|Leah|Greene|gold
1100|Coby|Houston|bronze
1101|Sage|Swanson|platinum
1102|Aphrodite|Williams|platinum
1103|Brady|Delacruz|bronze
1104|Igor|Wiggins|gold
1105|Joy|Ratliff|bronze
1106|Emily|May|silver
1107|Abraham|Kent|platinum
1108|Breanna|Clay|gold
1109|Olga|Hoffman|gold
1110|Aaron|Carlson|gold
1111|Keaton|Cervantes|silver
1112|Candice|Carson|bronze
1113|Margaret|Bean|bronze
1114|Zeus|Allen|gold
1115|Julian|Slater|silver
1116|Hammett|Chavez|silver
1117|Iola|Wyatt|platinum
1118|Cody|Henson|bronze
1119|Abel|Beasley|gold
1120|Gavin|Brewer|bronze
1121|Emmanuel|Cherry|platinum
1122|Julian|Skinner|gold
1123|Brett|Gould|platinum
1124|Jonas|Nelson|bronze
1125|Brent|Harrington|silver
1126|Deacon|Cherry|gold
1127|Moana|Dawson|silver
1128|Yen|Mercer|silver
1129|Lacy|Marshall|gold
1130|Honorato|Goff|platinum
1131|Harrison|Atkins|bronze
1132|Cherokee|Clayton|silver
1133|Winter|Small|silver
1134|Regan|Santos|platinum
1135|Jessamine|Todd|silver
1136|Linus|Sears|bronze
1137|Lamar|Morrison|bronze
1138|Xander|Jones|silver
1139|Imani|Stephens|silver
1140|Honorato|Dunlap|gold
1141|Nerea|Mcdaniel|gold
1142|Dante|Puckett|bronze
1143|Victoria|Tucker|silver
1144|Kermit|Roman|gold
1145|Kimberly|Ray|platinum
1146|Nathaniel|Miranda|silver
1147|Philip|Steele|gold
1148|Hashim|Martinez|bronze
1149|Jameson|Mack|bronze
1150|Sydnee|Conley|gold
1151|Alea|Mullins|platinum
1152|Lucian|Adams|silver
1153|Desirae|Hood|silver
1154|Seth|Schultz|gold
1155|Susan|Beard|silver
1156|Brock|Donovan|platinum
1157|Prescott|Soto|platinum
1158|Germane|Nixon|gold
1159|Remedios|Lynch|silver
1160|Madaline|Landry|bronze
1161|Aimee|Kinney|gold
1162|Luke|Tucker|platinum
1163|Jordan|Moreno|gold
1164|Mira|Mccarty|bronze
1165|Macaulay|Kramer|gold
1166|Yoshi|Kim|bronze
1167|Leah|Macias|silver
1168|Kelly|Sharpe|gold
1169|Stewart|Jackson|platinum
1170|Jennifer|Hayes|bronze
1171|Clio|Best|platinum
1172|Lane|Massey|gold
1173|Breanna|Frederick|bronze
1174|Axel|Wise|gold
1175|Dale|Henry|silver
1176|Joan|Merritt|bronze
1177|Serina|Neal|bronze
1178|Jakeem|Potts|platinum
1179|Odysseus|Bowen|bronze
1180|Ulysses|Coffey|bronze
1181|Troy|Barr|platinum
1182|Finn|Rivera|silver
1183|Vladimir|Fitzgerald|bronze
1184|Anika|Young|gold
1185|Rae|Hunter|silver
1186|Bell|Lloyd|bronze
1187|Zeph|Whitley|bronze
1188|Raja|Hopper|silver
1189|Christopher|Gay|silver
1190|Aquila|Mckenzie|bronze
1191|Brenda|Parrish|gold
1192|Maile|Jacobs|platinum
1193|Melinda|Henry|bronze
1194|Jada|Mcfadden|bronze
1195|Reuben|Berry|platinum
1196|Jordan|Nolan|silver
1197|Branden|Pierce|bronze
1198|Bethany|Cortez|silver
1199|Jasper|Caldwell|bronze
1200|Alvin|Armstrong|silver
1201|Bianca|Spence|platinum
1202|Minerva|Farley|platinum
1203|Chaim|Collins|bronze
1204|Callum|Stark|silver
1205|Richard|Mclean|bronze
1206|Caleb|Jensen|gold
1207|Morgan|Sawyer|gold
1208|Quinn|Key|platinum
1209|Chase|Bryant|platinum
1210|Alisa|Hammond|platinum
1211|Dana|Wolf|gold
1212|Ayanna|Drake|silver
1213|Guinevere|Morgan|silver
1214|Beatrice|Delaney|silver
1215|Willow|Hurst|silver
1216|Yvonne|Villarreal|gold
1217|Ferris|Jordan|platinum
1218|Azalia|Kidd|gold
1219|Blaze|Blair|bronze
1220|Flavia|Morrow|gold
1221|Sarah|Ray|bronze
1222|Bevis|Duran|gold
1223|Abigail|Savage|bronze
1224|Janna|Clay|gold
1225|Wallace|Garcia|silver
1226|Gary|Fitzpatrick|gold
1227|Myra|Dejesus|silver
1228|Clio|Bond|platinum
1229|Anthony|Howe|silver
1230|Colleen|Newman|bronze
1231|Lysandra|Pace|gold
1232|Uriah|Garza|bronze
1233|Destiny|Parker|bronze
1234|Keane|Hendricks|platinum
1235|Margaret|Frazier|silver
1236|Galvin|Tran|platinum
1237|Todd|Pacheco|gold
1238|Thor|Doyle|platinum
1239|Inga|Donovan|gold
1240|Melinda|Wood|gold
1241|Noah|Knight|silver
1242|Xyla|Moran|silver
1243|Amber|Gay|bronze
1244|Ray|Rivers|gold
1245|Cailin|Tucker|silver
1246|Odysseus|Adkins|bronze
1247|Ross|Page|platinum
1248|Kasimir|Reyes|silver
1249|Jerry|Joseph|gold
1250|Julian|Drake|bronze
1251|Irene|Ashley|platinum
1252|Asher|Hahn|gold
1253|Emery|Martinez|gold
1254|Arsenio|Pitts|platinum
1255|Zeus|Potter|gold
1256|Robin|Witt|bronze
1257|Devin|Rocha|platinum
1258|Tatyana|Griffith|silver
1259|Emerald|Stuart|gold
1260|Abbot|Ball|bronze
1261|Beau|Fernandez|gold
1262|Willow|Harding|gold
1263|Nissim|Mendez|silver
1264|Mara|Mayo|gold
1265|Cleo|Hoover|gold
1266|Macey|Massey|gold
1267|Ryan|Sweeney|silver
1268|Galvin|Perez|bronze
1269|Aimee|Foster|silver
1270|Ivana|Dixon|silver
1271|Akeem|Hudson|bronze
1272|Dennis|Villarreal|platinum
1273|Dane|Ewing|gold
1274|Debra|Sweet|silver
1275|Joshua|David|bronze
1276|Upton|Dominguez|platinum
1277|Hashim|Bright|silver
1278|Desirae|Huffman|silver
1279|Kaseem|Booth|gold
1280|Herman|Richmond|gold
1281|Carolyn|Glover|silver
1282|Buckminster|Young|gold
1283|Giacomo|Hess|bronze
1284|Cole|James|gold
1285|Katell|Bell|silver
1286|Xyla|Atkins|platinum
1287|Daphne|Hudson|silver
1288|Rinah|Mckay|bronze
1289|Breanna|Ashley|bronze
1290|Alec|Hoffman|silver
1291|Mercedes|Campbell|gold
1292|Quinn|Blanchard|platinum
1293|Ora|Roach|gold
1294|Aurora|Gilbert|gold
1295|India|Mueller|gold
1296|Leonard|Maxwell|platinum
1297|Alfonso|Melton|bronze
1298|Madaline|Little|platinum
1299|Shellie|Anthony|platinum
1300|Griffin|Pruitt|silver
1301|Amir|Peterson|platinum
1302|Hayfa|Gibbs|gold
1303|Stacey|Raymond|gold
1304|Elliott|Fletcher|bronze
1305|Raymond|Fuller|silver
1306|Yoshio|Hurley|gold
1307|Timon|Roberts|gold
1308|Brandon|Moss|silver
1309|Cheryl|Frederick|silver
1310|Ina|Rush|bronze
1311|Cathleen|Good|bronze
1312|Christopher|Hall|bronze
1313|Zoe|Robbins|bronze
1314|Xerxes|Fisher|gold
1315|MacKenzie|Keith|gold
1316|Omar|Lester|silver
1317|Candice|Cannon|platinum
1318|Jerry|Burns|silver
1319|Wylie|Santiago|bronze
1320|Branden|Greene|bronze
1321|Bianca|Ortiz|platinum
1322|Hayes|Barry|platinum
1323|Jana|Keith|bronze
1324|Cathleen|Arnold|silver
1325|Alfonso|Vasquez|bronze
1326|Ciaran|Buchanan|silver
1327|Uriah|Holden|platinum
1328|Hunter|Schroeder|silver
1329|Melanie|Barnett|bronze
1330|Madison|Kane|gold
1331|Hop|Ware|platinum
1332|Xenos|Harrison|gold
1333|Harper|Stanton|bronze
1334|Honorato|Osborne|gold
1335|Susan|Grimes|bronze
1336|Mallory|Stone|silver
1337|Samson|Ewing|silver
1338|Shelby|Santana|bronze
1339|Jane|Boone|platinum
1340|Paula|Bullock|bronze
1341|Nola|Burch|bronze
1342|Ralph|Mullins|platinum
1343|Kirby|Townsend|platinum
1344|Ashton|Castro|silver
1345|Uta|Blake|gold
1346|Gwendolyn|Mills|platinum
1347|Chaney|Byrd|platinum
1348|Nicholas|Bean|gold
1349|Clayton|Brewer|gold
1350|Ulric|Smith|bronze
1351|Demetrius|Hudson|gold
1352|Adam|Kent|gold
1353|Yoshio|Hawkins|gold
1354|Herman|Mclean|gold
1355|Quinlan|Wilson|platinum
1356|Mallory|Gentry|silver
1357|Driscoll|Berg|platinum
1358|Emery|Bowman|platinum
1359|Fulton|Slater|silver
1360|Patrick|Rogers|gold
1361|Igor|Suarez|silver
1362|Akeem|Lambert|bronze
1363|Simon|Robbins|gold
1364|Yuri|Woods|bronze
1365|Iona|Glass|gold
1366|Venus|Singleton|silver
1367|Fuller|Galloway|platinum
1368|Nomlanga|Kent|silver
1369|Cecilia|Rivera|bronze
1370|Nola|Jackson|gold
1371|Laurel|Patel|bronze
1372|Karina|Ferrell|bronze
1373|Ishmael|Hayes|gold
1374|Maggy|Parker|silver
1375|Ferris|Tillman|gold
1376|Tyrone|Landry|gold
1377|Madonna|Chambers|bronze
1378|Macaulay|Moon|gold
1379|Idona|Vang|platinum
1380|Nomlanga|Bailey|gold
1381|Lavinia|Hester|bronze
1382|Rahim|Rasmussen|silver
1383|Jena|Armstrong|platinum
1384|Alexandra|Hansen|silver
1385|Lareina|Bean|silver
1386|Jana|Spears|platinum
1387|Basil|Durham|silver
1388|Lacy|Rice|bronze
1389|Justin|Yates|silver
1390|Brett|Burke|bronze
1391|Jolene|Rocha|bronze
1392|Whoopi|Wilkerson|platinum
1393|Conan|Moody|gold
1394|Dai|Best|platinum
1395|Aristotle|Cline|gold
1396|Anastasia|Sparks|bronze
1397|Allegra|Howell|bronze
1398|Holly|Wood|silver
1399|Merritt|Hancock|silver
1400|Yasir|Carr|platinum
1401|Jaquelyn|Riddle|bronze
1402|Cassidy|Preston|gold
1403|Chase|Ramirez|platinum
1404|Kendall|Munoz|gold
1405|Preston|Carroll|gold
1406|Sloane|Pollard|gold
1407|Cassandra|Durham|silver
1408|Kaye|Herman|silver
1409|Shelby|Luna|gold
1410|Tamara|Woods|gold
1411|Blake|Landry|bronze
1412|Jaquelyn|Mayer|platinum
1413|Isadora|Glenn|silver
1414|Debra|Wade|gold
1415|Noel|Doyle|gold
1416|Patrick|Rosario|bronze
1417|Tad|Powers|gold
1418|Nola|George|silver
1419|Drew|Pope|gold
1420|Fulton|Green|silver
1421|Walker|Ferrell|bronze
1422|Len|Hawkins|gold
1423|Hunter|Morrison|platinum
1424|Tucker|Parsons|platinum
1425|Noelani|Bryant|bronze
1426|Penelope|Burch|silver
1427|Ayanna|Bender|silver
1428|Gregory|Solomon|bronze
1429|Stella|Skinner|platinum
1430|Lucian|Pittman|gold
1431|Laura|Noel|silver
1432|Brent|Stout|gold
1433|Graiden|Weber|bronze
1434|Dustin|Hinton|platinum
1435|Iris|Mosley|bronze
1436|Winter|Lara|platinum
1437|Fritz|Marquez|bronze
1438|Emerald|Stanton|gold
1439|Hiram|Jordan|silver
1440|Cailin|Glenn|gold
1441|Baker|Richards|bronze
1442|Neil|Fisher|gold
1443|Hunter|White|gold
1444|Anjolie|Sims|silver
1445|Anjolie|Reed|gold
1446|Keegan|Simon|platinum
1447|Ariel|Garcia|platinum
1448|Hedda|Gaines|silver
1449|Stuart|Holder|bronze
1450|Troy|Conrad|silver
1451|Carissa|David|gold
1452|Graiden|Oliver|bronze
1453|Emery|Brooks|gold
1454|Ferdinand|Weiss|silver
1455|Olympia|Estes|gold
1456|Barclay|Pope|silver
1457|Grace|Reyes|platinum
1458|Fletcher|Norris|platinum
1459|Faith|Preston|gold
1460|Joelle|Slater|bronze
1461|Porter|Garrison|gold
1462|Nicholas|Kirk|gold
1463|Chanda|Oconnor|gold
1464|Serena|Dickerson|silver
1465|Igor|Lopez|gold
1466|Troy|Lamb|gold
1467|Aaron|Day|gold
1468|Zelda|Morris|bronze
1469|Audrey|Gardner|gold
1470|Madaline|Smith|gold
1471|Isabelle|Shelton|platinum
1472|Ashton|Davidson|bronze
1473|Gray|Cortez|platinum
1474|Chloe|Cobb|platinum
1475|Matthew|Vega|silver
1476|Evan|Galloway|platinum
1477|Madeson|Maxwell|platinum
1478|Eleanor|Webb|silver
1479|Kadeem|Lucas|bronze
1480|Miranda|Britt|bronze
1481|Brandon|Gallagher|platinum
1482|Sylvia|Mccray|platinum
1483|Luke|Solis|silver
1484|Dean|Brown|bronze
1485|Bradley|Ramsey|silver
1486|Rowan|Guerra|silver
1487|Ignatius|Franks|bronze
1488|Juliet|Carter|gold
1489|Noel|Knight|bronze
1490|Oliver|Cochran|platinum
1491|Chloe|Lawson|bronze
1492|Eleanor|Hatfield|silver
1493|Germane|Freeman|silver
1494|Raja|Thompson|bronze
1495|Barry|Wong|bronze
1496|Hyacinth|Klein|bronze
1497|Kiayada|Morgan|gold
1498|Lydia|Travis|platinum
1499|Omar|Reed|silver
1500|Tara|Giles|gold
1501|Ariana|Mccullough|silver
1502|Ebony|Vazquez|gold
1503|Hashim|Weeks|bronze
1504|Kevin|Orr|bronze
1505|Chaney|Bauer|silver
1506|Brian|Pittman|gold
1507|Rooney|Battle|gold
1508|Yoshio|Rodgers|platinum
1509|Griffin|Nichols|silver
1510|Quinlan|Garrett|gold
1511|Autumn|Workman|platinum
1512|Odysseus|Conley|gold
1513|Jemima|Craig|gold
1514|Juliet|Solis|platinum
1515|Emery|Schroeder|platinum
1516|Kennedy|Whitaker|gold
1517|Kerry|Martin|bronze
1518|Janna|Webb|gold
1519|Uriah|Coffey|silver
1520|Olympia|Bonner|bronze
1521|Wyoming|Frye|bronze
1522|Dara|Bartlett|silver
1523|Margaret|David|silver
1524|Kaitlin|Johnston|platinum
1525|Elton|Dorsey|gold
1526|Hayley|Hodges|platinum
1527|Channing|Hayden|platinum
1528|Otto|Mills|silver
1529|Lucius|Benson|bronze
1530|Beatrice|Tillman|platinum
1531|Ignatius|Zamora|bronze
1532|Suki|Ramsey|platinum
1533|Palmer|Cash|bronze
1534|Talon|Manning|bronze
1535|Dillon|Kelly|silver
1536|Macon|Holland|silver
1537|Buckminster|Lamb|platinum
1538|Gil|Joyner|silver
1539|Deanna|Lang|gold
1540|Slade|Baird|bronze
1541|Ocean|Wallace|platinum
1542|Hoyt|Molina|silver
1543|Nolan|Maldonado|gold
1544|Rose|Gilbert|silver
1545|Odysseus|Albert|silver
1546|Laurel|Gallagher|gold
1547|Ashton|Erickson|platinum
1548|Cedric|Clay|platinum
1549|Angela|Sanchez|silver
1550|Jane|Sheppard|gold
1551|Lamar|Gamble|silver
1552|Adrienne|Lamb|silver
1553|Lucas|Gonzalez|gold
1554|Walter|Gamble|platinum
1555|Uriah|Lindsey|gold
1556|Rahim|Lawrence|bronze
1557|Rosalyn|Clarke|gold
1558|Seth|Conner|gold
1559|Tucker|Webb|bronze
1560|Uta|Fox|silver
1561|Natalie|Mcfadden|platinum
1562|Gary|Kemp|silver
1563|Hope|Barrett|platinum
1564|Clementine|Johnson|platinum
1565|Zachery|Ward|platinum
1566|Claire|Rowland|platinum
1567|Alexis|Pace|silver
1568|Kai|Henry|gold
1569|Hedley|Morrison|silver
1570|Adara|Herring|bronze
1571|Guy|Beach|bronze
1572|Hunter|Delacruz|platinum
1573|Kirby|Bryan|gold
1574|Tatyana|Doyle|platinum
1575|Beatrice|Keith|silver
1576|Brian|Leonard|platinum
1577|Piper|Larson|gold
1578|Elvis|Small|silver
1579|Beck|Berry|silver
1580|Ashely|Koch|silver
1581|Wang|Livingston|platinum
1582|Ora|Burks|platinum
1583|Melodie|Curtis|bronze
1584|Sopoline|Wood|silver
1585|Vincent|Bradshaw|gold
1586|Robert|Underwood|gold
1587|Amy|Hall|silver
1588|Olivia|Langley|bronze
1589|Mollie|Marshall|platinum
1590|Amity|Good|platinum
1591|Abdul|Burch|gold
1592|Hasad|Juarez|platinum
1593|Rahim|Woodward|silver
1594|Byron|Carney|platinum
1595|Gail|Morse|bronze
1596|Rinah|Guthrie|gold
1597|Mariko|Webster|gold
1598|Adam|Hall|bronze
1599|Kylee|Hardin|platinum
1600|Reed|Mcmahon|bronze
1601|Blaze|Cabrera|platinum
1602|Brock|Moran|bronze
1603|Wilma|Marshall|silver
1604|Paki|Hopper|silver
1605|Martha|Brewer|gold
1606|Brennan|Swanson|bronze
1607|Alvin|French|silver
1608|Brynne|Levine|platinum
1609|Haley|Hancock|platinum
1610|Sopoline|Stuart|gold
1611|Cleo|Lane|gold
1612|Omar|Hughes|silver
1613|Nora|Guzman|gold
1614|Deanna|Moody|silver
1615|Ferris|Frank|gold
1616|September|Melendez|bronze
1617|MacKensie|Combs|bronze
1618|Zeus|Battle|platinum
1619|Reece|Mendez|gold
1620|Kane|Brady|gold
1621|Raya|Baker|bronze
1622|Kenneth|Torres|bronze
1623|Vivien|Nixon|bronze
1624|Thomas|Banks|platinum
1625|Desiree|Bean|platinum
1626|Fletcher|Puckett|platinum
1627|Marah|Erickson|bronze
1628|Kennedy|Dotson|gold
1629|Branden|Mullen|gold
1630|Ursa|Briggs|gold
1631|Zachary|Macias|bronze
1632|Damian|Vinson|gold
1633|Sybil|Merritt|gold
1634|Scarlett|Barker|silver
1635|Grady|Newton|silver
1636|Colin|Aguilar|gold
1637|Justin|Velez|bronze
1638|Christian|Rosario|bronze
1639|Eric|Guerra|gold
1640|Tara|Brock|bronze
1641|Flavia|Buchanan|silver
1642|Pearl|Tran|bronze
1643|Rhonda|Carter|bronze
1644|Daria|Trevino|silver
1645|Camilla|Cohen|silver
1646|Reuben|Daugherty|bronze
1647|Aspen|Mcmahon|gold
1648|Yvette|Weeks|platinum
1649|Sebastian|Holman|bronze
1650|Cassidy|Santos|gold
1651|Jelani|Mcfarland|silver
1652|Erasmus|Harding|gold
1653|Lisandra|Yang|gold
1654|Paul|Delacruz|platinum
1655|Graham|Johns|gold
1656|Jescie|Tyler|platinum
1657|Davis|Grimes|bronze
1658|Bruno|Reynolds|bronze
1659|Neil|Salas|platinum
1660|Katell|Joyner|gold
1661|Zeus|Blanchard|gold
1662|Shaeleigh|Fitzgerald|bronze
1663|Kieran|Gates|silver
1664|Taylor|Huff|gold
1665|Jerry|Cantu|gold
1666|Damon|Irwin|gold
1667|Alice|Short|platinum
1668|Shelly|Montoya|platinum
1669|Mollie|Barber|platinum
1670|James|Glover|platinum
1671|Gemma|Chaney|platinum
1672|Graiden|Patel|gold
1673|Kirestin|Aguirre|bronze
1674|Jackson|Bates|silver
1675|Ursa|Brady|silver
1676|Teegan|Albert|platinum
1677|Andrew|Kinney|silver
1678|Alyssa|Reynolds|platinum
1679|Ciara|Vasquez|gold
1680|Zelda|Stout|platinum
1681|Montana|Fulton|platinum
1682|Autumn|Terry|silver
1683|Plato|Hendrix|bronze
1684|Adam|Hall|gold
1685|Cole|Sullivan|bronze
1686|Richard|Neal|gold
1687|Rhona|Oneill|silver
1688|Chelsea|Mckay|bronze
1689|Pearl|Lowe|bronze
1690|Kaden|Ellison|bronze
1691|Shannon|Coffey|gold
1692|Chancellor|Pruitt|bronze
1693|Michael|Underwood|bronze
1694|Tyrone|Stevenson|silver
1695|Herrod|Sharp|bronze
1696|Adam|Stark|platinum
1697|Acton|Cook|platinum
1698|Heather|Kaufman|bronze
1699|Dylan|Duke|bronze
1700|Dieter|Trujillo|bronze
1701|Paloma|Hayes|platinum
1702|Ronan|Vega|bronze
1703|Gwendolyn|Alexander|silver
1704|Aurelia|Donovan|bronze
1705|Zeph|Kennedy|bronze
1706|Astra|Curtis|silver
1707|Pascale|Hendrix|platinum
1708|Fritz|Glover|platinum
1709|Brent|Fulton|silver
1710|Adam|Frazier|gold
1711|Donna|Bishop|gold
1712|Kuame|Brown|bronze
1713|Bevis|Cole|gold
1714|Dennis|Hickman|platinum
1715|Clarke|Pitts|silver
1716|Daphne|Dickson|gold
1717|Hamilton|Todd|platinum
1718|Shaine|Sexton|bronze
1719|Denton|Dean|platinum
1720|Graiden|Brock|bronze
1721|Timon|Whitehead|silver
1722|Herman|Lott|gold
1723|Alea|Christensen|bronze
1724|Odysseus|Farrell|gold
1725|Cheyenne|Fitzgerald|bronze
1726|Chaim|Anderson|silver
1727|Cassidy|Tanner|bronze
1728|Cathleen|Carr|gold
1729|Faith|Hogan|platinum
1730|Gloria|Bailey|gold
1731|Yasir|Lee|platinum
1732|Kristen|Singleton|bronze
1733|Dorian|Atkins|silver
1734|Garrison|Dixon|bronze
1735|Eugenia|Mccarthy|platinum
1736|August|Hinton|bronze
1737|Berk|Ochoa|silver
1738|Janna|Hahn|bronze
1739|Athena|Sharp|gold
1740|Gage|Jefferson|platinum
1741|Amber|Rogers|silver
1742|Jerome|Delaney|bronze
1743|Harrison|Dale|gold
1744|Ryan|Brady|platinum
1745|Adrienne|Mcintosh|platinum
1746|Dustin|Stein|bronze
1747|Dora|Duran|gold
1748|Hedy|Lopez|platinum
1749|Lee|Buck|bronze
1750|Brynne|Bradshaw|gold
1751|Nasim|Mullen|platinum
1752|Tanisha|Mcpherson|bronze
1753|Oliver|Brady|bronze
1754|Amery|Reynolds|platinum
1755|Aspen|Dyer|gold
1756|Shea|Macdonald|platinum
1757|Deanna|Goodman|platinum
1758|Jerry|Reynolds|platinum
1759|Halee|Vazquez|bronze
1760|Luke|Hughes|bronze
1761|Noble|Henderson|platinum
1762|Ursula|Franklin|silver
1763|Chancellor|Carlson|bronze
1764|Jade|Washington|gold
1765|Valentine|Burch|bronze
1766|Maya|Henson|platinum
1767|Priscilla|Rhodes|platinum
1768|Xavier|Duffy|gold
1769|Theodore|Branch|platinum
1770|Zia|Lancaster|bronze
1771|Odysseus|Huff|bronze
1772|Barrett|Case|silver
1773|Fletcher|Hendrix|bronze
1774|Paki|Russo|gold
1775|Forrest|Cortez|platinum
1776|Ezekiel|Kerr|silver
1777|Magee|Richardson|bronze
1778|Samuel|Deleon|bronze
1779|Liberty|Wilkinson|silver
1780|Benjamin|Warren|gold
1781|Ian|Ray|bronze
1782|Louis|Faulkner|bronze
1783|Ora|Crawford|silver
1784|Ria|Kinney|platinum
1785|Stewart|Irwin|platinum
1786|John|Haynes|silver
1787|Gage|Peterson|bronze
1788|Benedict|Yang|silver
1789|Elmo|Johns|platinum
1790|Magee|Raymond|gold
1791|Belle|Paul|silver
1792|Jaquelyn|Faulkner|silver
1793|Amena|Case|platinum
1794|Ainsley|Carr|gold
1795|Kennan|Farley|silver
1796|Craig|Thornton|platinum
1797|Kyle|Soto|bronze
1798|Kamal|Landry|platinum
1799|Graham|Sutton|silver
1800|Abbot|Hayes|platinum
1801|Moses|Raymond|silver
1802|Eden|Drake|platinum
1803|Amery|Obrien|bronze
1804|Elijah|Moody|silver
1805|Sonya|Ward|silver
1806|Sawyer|Keith|platinum
