ID,RECIPIENT_NAME,RECIPIENT_STREET,RECIPIENT_CITY,RECIPIENT_POSTAL,RECIPIENT_REGION,SHIPMODE,TRACEID,STATUS
663942600_09C7126B-C81E-CFBA-6CE5-7C490A93D1FF,Daphne X. Tate,6026 Dui. Av.,Georgia,58156,Georgia,Standard,87E725A3-CA1E-2213-1045-176AD81B4315,PREPARING SHIPMENT
663942601_F4B29CA0-5B84-20D6-ED35-44683E5D974C,Brenna K. Hansen,1770 Integer Street,Jackson,31511,Mississippi,Standard,9E77CDBE-E5CE-34EF-2E32-6D441666BDD6,PENDING COLLECTION
663942602_336605EF-CD2D-D76D-AED4-A441EB490D43,Arden V. Roy,Ap #830-5202 Aliquam Rd.,Racine,52019,Wisconsin,Next-Day,93870793-41B4-1098-0B04-5C7937CF95CF,PENDING COLLECTION
663942603_3F80A481-C7EB-C0F4-846C-A4C508E4086B,Felix A. Wilcox,5206 At Rd.,Green Bay,66883,WI,Standard,12DA3050-EC56-6757-1C9A-36735C57ECA1,DELIVERED
663942604_E2F0A7AF-E7FB-D538-1D44-032981C79F54,Victoria I. Nichols,471-158 Eu Rd.,Mesa,86952,AZ,Express,AE852640-240B-5518-8BF3-8B9F2FAA69AE,PREPARING SHIPMENT
663942605_51BC15F2-4A09-EF62-DAA6-6C1CCADD1234,Zenia F. Schroeder,Ap #808-9142 Nulla. Street,Jefferson City,87752,MO,Express,F46F07B0-FBCB-7235-B0B2-84E810C90AF4,HANDED TO CARRIER
663942606_FA773A77-0D32-7ED3-58C6-D898E5B54C8D,Lila O. Lyons,837-9957 Lectus Rd.,Lincoln,50558,Nebraska,Next-Day,FEE473A1-2939-26B2-EACC-84D2DCA996AA,IN NETWORK
663942607_7E2F50A8-3E4A-31AE-73A9-21A8CF69D751,Rebecca J. Dejesus,"P.O. Box 615, 3644 Suspendisse Avenue",Honolulu,77878,HI,Standard,1F5633CB-ED51-ED5B-9F9E-99D90C18591C,HANDED TO CARRIER
663942608_FAE462A0-1C73-AF5C-2068-7A2491E6A98F,Lee C. Fischer,Ap #159-7714 Malesuada St.,Sandy,51851,UT,Express,E1C0A737-6587-E1C0-030C-8793EBD1CAAE,IN NETWORK
663942609_89917316-FF2B-C831-E523-A4CC01515F45,Kirsten M. Hawkins,7463 Nibh. Road,Chesapeake,11905,VA,Standard,8FF6504F-2C3A-085F-E2C3-E77BFFC5CA31,PREPARING SHIPMENT
663942610_BE5A877A-227A-E50C-E884-D6A21B431DD6,Ashton U. Hess,672-8682 Consectetuer Avenue,Sandy,53433,UT,Express,6130C31C-B351-9C6B-C77C-8DA35DE4B12A,DELIVERED
663942611_EFF7AB5B-E074-C8E3-B629-78590E1CDE2E,Gretchen D. Morin,326-5241 Ut Ave,Phoenix,85943,AZ,Standard,F686E57E-2D65-0DA1-492B-E27A110B0A9B,PREPARING SHIPMENT
663942612_9918E275-04D5-9CD9-EBD5-57638A1F07BE,Finn Z. Higgins,Ap #321-6723 Fusce Avenue,Grand Island,93179,Nebraska,Next-Day,6FAD16A6-F805-656B-E95D-4F37C174E43A,PREPARING SHIPMENT
663942613_E0CF8043-03CA-CA9B-F3ED-07149715CE47,Adele Q. Wall,"P.O. Box 786, 3318 Quam Av.",Anchorage,99928,Alaska,Standard,B98DD08C-5C48-D089-828E-9083C19DF655,HANDED TO CARRIER
663942614_5FEEE86D-EEDF-B1FC-52C0-BF7952BEBD79,Giacomo A. Burris,294-2351 Est St.,Springfield,27295,Missouri,Express,56402AAB-B0E1-C22F-3E7B-7141CAB89C9C,DELIVERED
663942615_6F90CFDF-5D9B-B8C5-0F6A-928D0C414CAD,Dustin Z. Mcmahon,334-2378 Ultrices Street,Clarksville,72111,Tennessee,Express,40D43442-0571-5EE0-4169-C20EAE211439,IN NETWORK
663942616_815171C8-FC98-2AD5-1CD3-DF7307F22F9E,Iliana Q. Mack,Ap #723-7586 Sed Street,Chattanooga,68838,TN,Next-Day,8946BF45-9B79-006A-8A77-06A82A73284E,IN NETWORK
663942617_2A505A90-93ED-B9B0-4E27-63DFCF9A022B,Ulysses L. Mercer,"P.O. Box 381, 1198 Mus. Av.",Rockville,33632,MD,Standard,1DDE0E4C-B4B2-E1FE-C5B0-F57E08DA0EBF,HANDED TO CARRIER
663942618_DD6A6BB1-E401-C95E-3E1F-DA5682BE4135,Kibo U. Lambert,Ap #932-5608 Aliquam Av.,Portland,55850,Oregon,Express,22DC6999-48C8-C220-AA11-88C1BF26F2AF,IN NETWORK
663942619_3ED4264A-89C0-AEAE-0C19-71C850C70A7C,Alec S. Bradley,"Ap #658-3888 Ac, Street",Reno,42695,Nevada,Next-Day,70D9541E-C86C-A7A6-550D-6AAF70C5ED3E,HANDED TO CARRIER
663942620_DD68941D-3B03-BFD3-6ACF-207045EF05B9,Sybill T. Le,337-2341 Conubia Avenue,Newark,97871,DE,Standard,899F3CBD-DFF4-3160-5BBB-F5B15C5B4304,IN NETWORK
663942621_C49DB636-C940-B27E-6733-05A27DD3F9A4,Garrett C. Trevino,6354 Consequat Rd.,Vancouver,97792,WA,Express,F1FCA403-1A6D-461B-B32D-D5665D56492C,PREPARING SHIPMENT
663942622_E222409E-07B5-DE17-602B-C60BC6C5C5F3,Brian Z. Thompson,1683 Cursus Street,San Diego,94839,California,Standard,6CAF8588-4818-B939-EED5-79799706C01B,IN NETWORK
663942623_9B213DE2-1479-2E99-8E94-A895BE6B40DD,Zelenia W. Lucas,931-9516 Faucibus Street,Colchester,99095,VT,Standard,93DC1E83-56F6-D1A9-863D-CF5985A724E9,PENDING COLLECTION
663942624_9188A026-4C6C-A3EA-0343-17F5280BBAC2,Cyrus I. Cox,817 Turpis St.,Wyoming,46055,WY,Standard,4CDEE303-9295-4CCD-EF1D-0E21AA69BF06,DELIVERED
663942625_1E92D183-BC26-57C1-5D73-1F9F3515728C,Duncan I. Anderson,Ap #700-9913 Elit Ave,Spokane,45550,Washington,Next-Day,5AA5A649-EB05-A6EC-853A-B669C4176B1C,DELIVERED
663942626_99D40B62-FFCF-9616-3E7F-301CC9766FB0,Ahmed J. Weaver,175-7693 Lacinia. Street,Rockville,12581,MD,Express,85CBB4A7-31B7-4276-5C79-3EF05EF7C7D2,DELIVERED
663942627_3B4F0E18-A389-4D67-5C97-3BDD72FA225C,Zelda R. Mueller,Ap #980-1178 Auctor Ave,Toledo,22139,Ohio,Express,1C39C3C0-C12A-FB3C-8FA2-279365E580ED,PENDING COLLECTION
663942628_FA49CC2A-B2FA-0739-CF5E-7E1B96F61142,Quamar I. Jacobson,9446 Dolor Av.,Austin,99412,TX,Standard,52C05B33-8855-3F49-1E2A-FCCF71773310,DELIVERED
663942629_E455E5C6-6237-9C37-16E1-A9543BA713FA,Valentine V. Webster,9000 Nulla St.,Tuscaloosa,35834,AL,Standard,F3994C49-C696-6DA3-0284-608B511953AA,PENDING COLLECTION
663942630_1930D562-AEC3-9621-99BD-5B79DA723742,Evan Q. Jefferson,"7103 A, St.",Gresham,73832,Oregon,Standard,F38A68C9-60F8-0C61-F586-8B9106B1BFF6,PREPARING SHIPMENT
663942631_DBCC1548-871D-2B42-904C-0B69A662872E,Wynne V. Hughes,"595-5376 At, Rd.",Boise,12078,ID,Express,892AA3C8-60C4-8EA5-C53E-BA16C6ABCC92,PENDING COLLECTION
663942632_A65235A1-27EB-BBFB-32A6-FE0405AD6100,Emery H. Bentley,5956 Donec Rd.,Newark,52445,Delaware,Express,2C2CF64A-F31D-5551-8944-08AFDC15F8E6,IN NETWORK
663942633_CD1A6020-06FD-C807-E80B-637AB3D7241D,Chester J. Bullock,501-9113 Mauris Rd.,Flint,20045,MI,Next-Day,88CF3CD2-AEF4-2B71-F0DD-E0DDC6BFAC56,HANDED TO CARRIER
663942634_93C3A824-AE8B-F51F-6CEA-91CFD4005101,Paul B. Sellers,6842 Ligula. Rd.,Shreveport,54175,LA,Standard,8F012CE2-96DA-CB3F-F0AA-4FF3FBD10181,PREPARING SHIPMENT
663942635_C2EA1C13-962A-22DE-A465-635A6F1CE7C1,Minerva M. Hines,481 Malesuada St.,Hilo,29427,HI,Standard,FB696526-AAB7-F94C-5BA0-2EE6B254F45F,HANDED TO CARRIER
663942636_2A9B65C5-FB4E-2864-BCDA-A3EC7BF1DC6D,Irene J. Le,Ap #638-9609 Egestas Av.,Augusta,19477,Maine,Next-Day,86792D58-E628-A8B6-72A2-90E1ED4BC305,PREPARING SHIPMENT
663942637_667640D4-9479-1C92-F37B-525FE967B9C3,Cassidy A. Farmer,397-7737 Metus. St.,Shreveport,58541,Louisiana,Next-Day,3A6919F3-9DE1-6E78-9273-AF603957C11D,DELIVERED
663942638_51D0B3A7-26D2-2AFB-42DA-D41F62450988,Leslie S. Mcleod,Ap #323-9865 Quisque St.,Portland,22072,Maine,Standard,161294C0-8807-E613-94CD-A2319A9BDD1B,PREPARING SHIPMENT
663942639_B8EC070F-F9A0-7047-8FA2-CC02373D8DA3,Faith G. Sparks,438-1585 Non Road,Richmond,86339,VA,Standard,55F3AED9-97C8-F580-79E9-38AEA411F509,DELIVERED
663942640_825F5B7C-0668-C811-576D-F84F81C03B8F,Dora F. Obrien,1888 Natoque St.,Overland Park,97881,KS,Next-Day,A124BF79-E0E8-4186-7A8E-8E1CB60DB5BA,PREPARING SHIPMENT
663942641_845709A7-E932-8245-C60C-9A95D6951D6A,Deborah U. Potts,Ap #124-5031 Lacus St.,Frederick,13062,Maryland,Express,BECABF56-259E-6E44-BAE4-31E98F8CB30F,PENDING COLLECTION
663942642_04B28572-46F4-CAEA-6455-9E57C6A0F91C,Jordan C. Moss,1955 Nam Road,Sioux City,19959,IA,Standard,EE8149D1-6083-47AC-6542-B88F49C3AF80,PENDING COLLECTION
663942643_DA5C7DE8-2C6D-8ACE-1B0D-1EC6CB733C57,Callum I. Nguyen,Ap #183-6145 Aliquam Road,Aurora,82303,Colorado,Next-Day,0FDD259E-B1A8-7B03-D2B2-7CD482C11E9E,IN NETWORK
663942644_86E03D02-60F3-D00D-CD17-B2826659B0E5,Zia W. Henson,"P.O. Box 266, 5197 Magna Rd.",Chicago,86155,Illinois,Standard,9FACDB3B-3294-E806-AC26-D11A67A90B31,HANDED TO CARRIER
663942645_633FF631-E017-F4D1-89BD-F87F9CE3A183,Avram G. Valdez,7309 Ac Av.,Kenosha,80936,Wisconsin,Next-Day,7FBC86FC-4735-DCDC-885E-5B0554471445,PREPARING SHIPMENT
663942646_6A3C1DB1-279D-7843-AA01-61E4137ECD87,Nigel N. Pruitt,3457 Justo St.,Shreveport,33749,LA,Express,2CC67DFC-4579-566B-AC91-4634C7D52B38,PENDING COLLECTION
663942647_91F726A4-2315-3B37-933C-2B0B1EA9C80A,Alyssa I. Richardson,329-3330 Ut Road,Hillsboro,60178,Oregon,Next-Day,432EA6C5-7FF5-DE61-089B-B360585C4495,PREPARING SHIPMENT
663942648_DA8FA5E6-7CEE-3010-1EA4-10CE88BD3500,Gabriel H. Evans,Ap #244-6643 Dapibus Ave,Georgia,24792,Georgia,Standard,AFDC8F56-A2E7-E5DA-93C2-F4F501AA70F0,IN NETWORK
663942649_F2C941A5-1BAB-A289-DF21-4B58913E2055,Wendy D. Stein,6732 Nulla Av.,Bridgeport,47700,CT,Next-Day,1FC3FC80-DC88-5BDD-0DF1-CB550D2AFFF7,IN NETWORK
663942650_AD239FE4-9DDC-927E-C689-4F9B9BD9925C,Aubrey P. Moses,7945 Consectetuer Avenue,Kansas City,34689,Missouri,Next-Day,CABDEAA8-F9BD-0EE2-81BE-F33B9B1E13C9,HANDED TO CARRIER
663942651_879BB50B-9DDE-D338-EDED-E940CFA683BD,David P. Rutledge,Ap #911-5830 Tellus. Street,Pittsburgh,77390,PA,Next-Day,BD3F18E4-5FDD-4F79-93A0-8709E129FBE5,IN NETWORK
663942652_90CE8DA6-2B7C-376F-A01E-48E51610C255,Miranda B. Hendrix,"P.O. Box 986, 8267 Feugiat St.",Denver,63650,CO,Standard,55B32E3A-7F4D-0CDB-9B1E-271FF60D44FD,PREPARING SHIPMENT
663942653_57C25B6B-6E2F-8428-AC98-43EF749A751C,Rudyard J. Huber,842-2551 Maecenas St.,San Antonio,78339,TX,Express,73B11165-DD4D-E155-95CB-96C323260BEC,PREPARING SHIPMENT
663942654_F1EA30C6-4148-2491-DCEF-F5059D3F4F43,Brynne Y. Mcbride,"P.O. Box 220, 3197 Lobortis Street",Knoxville,11840,Tennessee,Next-Day,005D3308-CF06-5405-3D13-B2838DA88DC6,PENDING COLLECTION
663942655_B491BB5D-991F-80D5-34A3-D10DDBB09D82,Lisandra J. Grimes,"P.O. Box 630, 2172 Arcu Street",Huntsville,35294,AL,Next-Day,BE42884F-BA04-B408-F38C-80A2F90C8902,PENDING COLLECTION
663942656_C7CA0AB4-C396-1930-F81D-6EBB28EFEF41,Brian H. Oconnor,4444 Egestas Street,West Jordan,50535,Utah,Next-Day,0F2D8D12-BDE6-F996-D027-F151A85C1528,HANDED TO CARRIER
663942657_99F42F49-DE07-A45B-86A5-F73A166BD7B3,Phoebe P. Lyons,9586 Etiam Avenue,Norfolk,70687,Virginia,Next-Day,991400DD-50DB-18D9-7E49-3A85DACA0990,DELIVERED
663942658_C7FBE1A9-A934-2F78-F21B-8BD843A6BE65,Erin L. Fulton,"P.O. Box 270, 1641 Nunc Av.",Tallahassee,18959,FL,Express,FF6322E5-1A20-03A6-18A3-458397C548DD,IN NETWORK
663942659_D0B8441B-D219-D76F-7BCF-F0715912CF64,Bryar I. Norton,"P.O. Box 589, 8227 Ac, Rd.",Birmingham,35436,Alabama,Next-Day,1F451370-867D-0CC5-3C05-CB996C6F7538,HANDED TO CARRIER
663942660_FA083AC1-D2B9-2B40-EDE3-D28FDEBA3B7D,Guy W. Downs,"P.O. Box 978, 1729 Vivamus Rd.",Montpelier,53924,Vermont,Next-Day,8F1B97A5-F372-7C1B-F98A-C73F4BABB575,PREPARING SHIPMENT
663942661_4A0E55E1-BEFF-7864-034B-F8532F2535D3,Alisa B. Sharpe,"P.O. Box 861, 5510 Aliquet. Rd.",San Jose,94894,CA,Standard,8B3D70AA-1930-7A27-9C80-C838C415244A,PENDING COLLECTION
663942662_C8FC3777-E80A-B7E0-FE8E-047560ABCAC1,Cadman O. Vang,Ap #698-1624 Aliquam St.,Bloomington,35645,MN,Standard,3DC09995-06F0-0F57-9C3A-C4AE856FE8EB,IN NETWORK
663942663_2A99D91F-63CC-9682-AA09-78C357AFC3F9,Eaton Z. Wilson,Ap #530-6203 Adipiscing Ave,Minneapolis,16547,MN,Express,289D9095-2036-AD90-1A44-FFA3CF0E847E,HANDED TO CARRIER
663942664_F14FE9EE-076C-5CFB-5818-4A57F31B2639,Jesse Z. Erickson,809-4278 Semper. Rd.,Gillette,32822,Wyoming,Express,0DEAF059-0556-CFBA-DE06-F311CBB1686D,HANDED TO CARRIER
663942665_07DEBEE6-D778-71E8-D4E6-05EB2F78AE45,Scott Z. Rocha,Ap #819-5837 Ornare. Road,Bellevue,40255,Nebraska,Next-Day,CB624AF1-31C7-B8C0-764D-1396A0B84D07,PREPARING SHIPMENT
663942666_13AA002E-0559-7CE1-AC3B-430A2BCC795B,Wing G. Jefferson,"P.O. Box 860, 7890 Pharetra. St.",Cheyenne,53080,WY,Express,7961D3B6-6FDE-34BB-5422-45FB1FC368BB,PENDING COLLECTION
663942667_A1A504CE-E1DA-7261-B183-9BC831F9003B,Acton S. Beasley,"851-7579 Pellentesque, Ave",Metairie,76079,Louisiana,Next-Day,78FB6741-B3F4-88B1-31BC-9924711B4ADA,PENDING COLLECTION
663942668_48C3E7DC-F5A8-F4DD-39A8-EA39BF81DD2D,Kirsten V. Jimenez,"P.O. Box 645, 8296 Lectus Rd.",Des Moines,31450,Iowa,Express,C8A2FB0F-EE09-B8E4-CB5F-AABCE027B423,DELIVERED
663942669_2F4FBAE7-DBF3-BDB8-2E05-43F6D8BEF10D,Eve F. Montoya,597-7312 Eros Rd.,West Jordan,71542,UT,Express,5CD8ED94-B43C-D80A-381D-5A933B6B9907,PENDING COLLECTION
663942670_8C8ADAB9-E946-67D8-2A50-98EA9D3AEF7D,Molly Y. Emerson,"P.O. Box 143, 6548 Duis St.",Hattiesburg,30030,Mississippi,Next-Day,CA8C3700-75B4-CCA1-1B15-2D433373C4C8,PENDING COLLECTION
663942671_A27F023A-D5BF-930E-CE11-BFE3EAA095A2,Jerome Q. Herman,342-4012 Vitae St.,Meridian,85698,Idaho,Next-Day,79F48580-96A0-6551-14F1-FAD71C7A9F38,PENDING COLLECTION
663942672_3EE6C2E4-6E59-94E8-F03D-B58B668A8114,Isadora V. Mckay,4595 Nec Av.,Lakewood,95521,Colorado,Express,21A8E324-F788-4DA0-F4FB-F2405D98A5CB,HANDED TO CARRIER
663942673_33E4E962-1649-8D14-7DB6-C7AE1823BF08,Hall L. Moore,"P.O. Box 313, 4079 Dolor. Ave",Stamford,96424,Connecticut,Standard,7F2AD6FC-E3C4-A620-CF20-37A2C687070B,DELIVERED
663942674_0649E930-2BA5-2EB9-DD9D-46E42B942AE7,Damon B. Adams,"P.O. Box 668, 1922 Sed Av.",Tacoma,55199,Washington,Express,9AE1F2A6-73C7-FA56-43FB-C7EC8BDEC1A8,HANDED TO CARRIER
663942675_5D6A2C1C-51FB-DBA3-6285-C75C73D0903C,Germane P. Holden,5468 Et Street,Billings,52969,Montana,Standard,D9F73CA5-9B05-C1DE-F25B-EE0C0D7834F7,PREPARING SHIPMENT
663942676_C46DB39B-5425-BBB6-504B-E88FA4C7B87A,Shay H. Boyle,9881 Porta Street,Owensboro,52293,Kentucky,Standard,F3D8F957-02C7-CC02-C82E-010FF138BEC0,PREPARING SHIPMENT
663942677_5DF8DCF7-22ED-CC41-42E6-E7B3326290CE,Tiger X. Church,Ap #247-1365 Lectus. Street,Augusta,99831,Maine,Standard,03814A22-F10D-67E0-01E2-B64C488401F0,DELIVERED
663942678_5FB5DAAE-00D1-772E-FE57-E31A2043FEDD,Lewis I. Finch,1323 Eget Road,Bear,21509,DE,Standard,A3516EB8-7FF2-965D-D752-6B1204BD7B56,PENDING COLLECTION
663942679_EAADD8DF-974E-6C98-5796-773466DC27FB,Dorian A. Nelson,"Ap #175-541 Est, Street",Hilo,17872,HI,Express,2260B9CF-9FD7-2F79-F2F9-0A7AC3085E5A,PENDING COLLECTION
663942680_36D1E67F-D395-402D-3571-8C721636F0F5,Althea W. Murphy,Ap #576-8292 Dictum Avenue,Mesa,86576,AZ,Express,07BFE53F-3C74-D39F-66E7-70D57DFC3763,PENDING COLLECTION
663942681_D60E1477-6300-CB03-E544-26B1D4CC897E,Oliver Q. Howard,Ap #942-7379 Ultricies Street,Grand Island,30554,NE,Express,70126699-1FA7-83BB-39E9-89D89CCD9215,HANDED TO CARRIER
663942682_19694526-A316-2B13-A4A3-214C2F10EA6D,Vernon F. Boone,707-1698 Aliquet. Rd.,Montpelier,54429,VT,Standard,9B837556-A95C-4F0D-20C7-42B06A26F5BE,DELIVERED
663942683_FB64C7FB-50D3-8774-ABBD-B81A57FDB1D5,Eaton V. Nielsen,Ap #349-6226 Phasellus St.,Salem,73546,OR,Express,4850040F-1DEE-FB4B-12EE-3C97C2B99539,IN NETWORK
663942684_272A3B53-BEA7-13F1-F0A4-4FA7599FFB16,Mechelle Z. Paul,"P.O. Box 999, 1767 Sit Rd.",Des Moines,99577,Iowa,Standard,5F459B86-791C-7DDD-2358-7E2FB1C06B30,DELIVERED
663942685_21447E2C-6982-434C-66B9-67FBD3010E25,Alexis L. Blair,426-8459 Nam Av.,Fort Worth,26811,TX,Standard,DC55FBC8-DFD9-E3F4-6E39-AB96752A1578,IN NETWORK
663942686_70F0AF36-55EA-DC21-B0CB-114A5D0C9C2D,Harlan W. Frazier,"P.O. Box 615, 8961 Odio Ave",Cincinnati,82085,OH,Next-Day,F2948BAD-DE9C-6440-5E01-16CF6A16917B,HANDED TO CARRIER
663942687_49CB0EA3-519C-F4DA-C594-94F2E91EDFFA,Cora K. Atkins,"P.O. Box 696, 9986 Eu Rd.",Anchorage,99690,Alaska,Express,883F6429-488A-74F6-8AB8-9CF33BB375AF,PREPARING SHIPMENT
663942688_63ADB720-B366-2295-9ED7-61CCFCA49809,Grady S. Clemons,"Ap #372-5541 Orci, St.",Kaneohe,42841,Hawaii,Standard,BD661C80-D3FC-717B-DF48-CEE42FFF719C,HANDED TO CARRIER
663942689_52E99282-6321-FACE-5011-153B0440D883,Erasmus U. Jordan,778-1756 Phasellus Av.,Gresham,76925,OR,Next-Day,36FFB51C-DCFD-1CAE-4368-6DB3E69886EB,HANDED TO CARRIER
663942690_E378072D-B535-F74D-69BB-5CB1EAEC40A0,Diana X. Wolfe,Ap #181-7839 Orci. Road,Dover,35858,DE,Express,7D5A775A-2E39-033A-0A05-A7FD7F6C2385,PREPARING SHIPMENT
663942691_D382823E-E1C5-8FCC-1999-FE5A1E45C257,Eleanor W. Spencer,3349 Gravida Road,Columbus,96070,OH,Next-Day,64B21686-A5D7-9DCD-5BA2-1ECAE040EABF,PREPARING SHIPMENT
663942692_745CB034-29E5-7FFD-50DD-445CD5DD4037,Neville B. Bruce,402-4224 Est. Rd.,Cambridge,81128,MA,Next-Day,D8C2F5F4-64F5-FFDA-4008-1613FB1F22FB,DELIVERED
663942693_D87B1D9B-162F-0581-A1DD-1BAB2C9F0033,Desiree Z. Marquez,Ap #486-2499 Morbi Road,Colchester,72563,Vermont,Express,A228CD49-9578-BC45-63CD-40614FB7B2B3,PREPARING SHIPMENT
663942694_1124EBE3-1AFB-1CBD-EEBE-5FB7AE1B6B68,Ulysses H. Yang,509-6935 Pellentesque Ave,Carson City,36272,Nevada,Standard,6055B08D-DC7D-8AA0-70BD-194CA51198CC,PREPARING SHIPMENT
663942695_E8E35C9D-A937-AC93-296E-3EF50AC6AAE7,Dalton S. Hodge,911-6940 Tortor St.,Chicago,28263,IL,Standard,6F204EE7-5579-CFD7-AF1D-FBE4547CED23,DELIVERED
663942696_190E9175-ECE0-0607-BDCD-50F3FC402381,Lareina J. Good,644 Curabitur Street,Colorado Springs,19172,Colorado,Standard,AEC3CB9B-9BBB-3B3E-BD1D-B669B37FDC1D,HANDED TO CARRIER
663942697_227D84BC-B984-0021-5A7A-8F77FD3FCB22,Chava R. Lane,Ap #718-9079 Rutrum Street,Des Moines,41908,IA,Next-Day,362AB9F5-00E0-8766-98EB-CF45082103BB,PREPARING SHIPMENT
663942698_3564EDBB-71D2-8988-2DCA-E9B53B4DE7E7,Cara W. Ellison,Ap #224-9503 Dictum Road,Lawton,64239,Oklahoma,Standard,7811621F-42D6-EE79-8798-F6F6DE129F51,DELIVERED
663942699_4A803102-53B3-5B5F-800E-9D6A66F90AB0,Germane Q. Sandoval,7975 Auctor Av.,Newark,99775,DE,Next-Day,3E879116-D436-4F2F-98FB-F2B3E2A43935,HANDED TO CARRIER
663942700_5F4DC4C5-267A-5DC4-43C6-FF95AF03779C,McKenzie D. Faulkner,202-1437 Lobortis Ave,Metairie,65677,LA,Next-Day,55D94459-47E1-A34B-7D94-E54B67101759,PENDING COLLECTION
663942701_41CD8ADE-4F8B-23E1-C46B-02DCE1F6FF10,Lysandra V. Hendrix,"P.O. Box 932, 1670 Eget Road",Bozeman,17894,MT,Express,BC628EB8-6E19-4F6B-89FE-9287842342A7,DELIVERED
663942702_3C20D786-3BC1-E089-CF91-B21E73D7ED07,Taylor K. Lambert,3501 Neque Rd.,Olympia,59433,WA,Standard,3E877523-5111-B58F-866D-4C6DA3F722A9,PREPARING SHIPMENT
663942703_9B2033EF-27CC-31C9-7C96-E24C4A1663F9,Macy J. Mays,Ap #638-420 Lorem Road,Knoxville,69610,TN,Standard,A7F53CAB-86C8-9FFF-1F89-617CD1B6C5AD,IN NETWORK
663942704_633DB4AB-13BA-D371-BC6A-01C38DCEAA66,Jesse E. Juarez,"P.O. Box 194, 6448 Ligula Rd.",Kearney,16319,Nebraska,Express,8F187DAE-6429-D232-DA83-18715F648203,HANDED TO CARRIER
663942705_8FB089D0-EE79-F595-2905-87B908ACB4D4,Amal W. Morris,"P.O. Box 885, 7634 Congue. Street",Tampa,18280,FL,Standard,BED85914-477D-9779-EC48-47D91858C776,HANDED TO CARRIER
663942706_5BDB2EAE-D948-B5E4-2175-13DADB5BF609,Cleo C. Herring,"P.O. Box 426, 619 Justo Street",Allentown,24006,PA,Next-Day,E3A4045E-359C-8504-63BD-785BF92B576E,HANDED TO CARRIER
663942707_264A6C60-31C6-EE29-3A30-D0FDA3A3FC86,Darrel A. Pruitt,Ap #471-8952 Ligula. Road,Baton Rouge,41486,Louisiana,Standard,69C01E8B-57D8-9FE1-3934-BAEC2DA7CFCE,IN NETWORK
663942708_541155E1-D250-FF8B-AB87-67CBF2CCC259,Preston U. Shepard,"2855 A, Street",Meridian,41899,ID,Express,8F2E4CB8-00D6-C7AB-E5CB-49DE41512489,PREPARING SHIPMENT
663942709_9CEBCF70-B0D1-1007-08EA-142240A2B5C6,Lilah G. Pacheco,8425 Velit. Rd.,College,99831,Alaska,Express,ED932612-9D98-2DC1-8C04-8125166F13D5,PENDING COLLECTION
663942710_F406FB2D-5075-8724-0983-D0F8EDCA849A,Jolene C. Hensley,964-5371 Erat Ave,Lakewood,87409,Colorado,Next-Day,74046276-8CB1-7BEA-2571-C22E343A93D1,PREPARING SHIPMENT
663942711_501E2666-51C2-E1E9-1D1C-A285E5084045,Ruby O. Hopkins,814 Ipsum. Av.,Grand Island,54614,NE,Express,249E09F9-CA73-0C49-4E9A-9B58D0821B2A,HANDED TO CARRIER
663942712_F5F44996-B2C9-236C-AB31-B20F57EAB00A,Brooke S. Blanchard,2180 Tellus Road,Omaha,63851,Nebraska,Standard,DF868C41-D428-5F85-0B88-3C627CC83CF1,DELIVERED
663942713_9D07BCA3-92AA-441C-8220-A045D232ABDE,Seth W. Hogan,Ap #447-6654 Tincidunt Rd.,Joliet,10012,Illinois,Express,374445B9-D29A-550B-DCB0-820DE07F4633,HANDED TO CARRIER
663942714_3F526EE4-E54C-F01D-ADAB-28F369B47B84,Ignatius C. Tucker,8323 Orci. St.,Laramie,63063,Wyoming,Express,C887D6F9-6DEC-0581-A29C-E6CD79F6FDAD,PENDING COLLECTION
663942715_C6BC6351-1D2F-9046-FC5B-D8FFBAF8ACCE,Aubrey R. Morales,"P.O. Box 155, 9861 Nulla Road",Overland Park,47997,KS,Next-Day,4726E62A-90AE-F60D-4A6C-82A9F3FB40F5,PENDING COLLECTION
663942716_F805DB91-1262-480B-D49A-086385E21BE5,Hammett P. Johnson,Ap #430-1510 Luctus Av.,Anchorage,99725,Alaska,Next-Day,2BBA9705-08A2-90DA-323F-E0A053099A9B,DELIVERED
663942717_10B96340-066E-42DE-B52F-9DBB22BF316F,Jocelyn U. Spencer,754-3583 Ante Street,Bloomington,32374,MN,Standard,73016070-42E6-7C96-7A81-A1D3E13F86EB,PENDING COLLECTION
663942718_AD4F014B-1F70-05A2-AB24-DD29EDF2F266,Ian N. Berry,Ap #719-7944 Dignissim St.,Worcester,91981,Massachusetts,Next-Day,C6279EAF-8BF4-32B4-B4F6-1389BE7AD475,DELIVERED
663942719_21260351-692B-640F-E2A8-EBF042E920A6,Cody A. Mcgee,"P.O. Box 741, 9435 Montes, Rd.",Rockford,38530,Illinois,Express,B12AB513-2DFE-2895-A8E8-BA3C32CA8565,IN NETWORK
663942720_A34866D5-04A9-BA02-BEE6-8F2F35858B99,Plato C. Ford,"P.O. Box 915, 7458 Scelerisque, Rd.",Baton Rouge,82750,LA,Next-Day,9766E57F-1571-C991-31D6-BEC4E1F62A2F,DELIVERED
